rowid,ID,Country,Type,Date,Year,Title,Outcome
216,Switzerland Rejective,Switzerland,Rejective,1997-07-07,1997,Prevention of: Amendments to the Federal Act on Measures to Safeguard Internal Security (BWIS),AllAdmissible_FailedPostSignature
217,Switzerland Rejective,Switzerland,Rejective,NA,1995,Prevention of: Amendments to the Unemployment Insurance Act,AllAdmissible_FailedPostSignature
218,Switzerland Rejective,Switzerland,Rejective,NA,1995,Prevention of: Approval of the Agreements concluded in the Multilateral Trade Negotiations under the Aegis of GATT (Uruguay Round),AllAdmissible_FailedPostSignature
221,Switzerland Proactive,Switzerland,Proactive,2019-02-27,2019,enforce non-building zones especially by preventing the building of residential houses,PostAdmissible
222,Switzerland Proactive,Switzerland,Proactive,2019-02-27,2019,increase biodiversity,PostAdmissible
223,Switzerland Proactive,Switzerland,Proactive,2019-01-25,2019,Limit health insurance payments to at most 10 percent of income,PostAdmissible
224,Switzerland Proactive,Switzerland,Proactive,2018-09-07,2018,Introduce measurements to limit maximal costs of health care and insurance,PostAdmissible
225,Switzerland Proactive,Switzerland,Proactive,2018-05-22,2018,No factory farming,PostAdmissible
226,Switzerland Proactive,Switzerland,Proactive,2018-04-12,2018,decide who gets federal judge positions by 'lottery',PostAdmissible
227,Switzerland Proactive,Switzerland,Proactive,2018-02-23,2018,Limit tabacco advertisment,PostAdmissible
228,Switzerland Proactive,Switzerland,Proactive,2017-12-22,2017,Limit immigration,PostAdmissible
229,Switzerland Proactive,Switzerland,Proactive,2017-09-11,2017,"Increase tax on capital income, use increased earnings to finance social measures or tax-relief for persons with low-middle income",PostAdmissible
230,Switzerland Proactive,Switzerland,Proactive,2017-08-30,2017,prohibit testing on humans or animals,PostAdmissible
231,Switzerland Proactive,Switzerland,Proactive,2017-03-20,2017,prohibt state institutions from investing in producers of war materials,PostAdmissible
232,Switzerland Proactive,Switzerland,Proactive,2017-02-09,2017,prohibit subventions for any commercial actor using synthetic pesticides and prophylactic anti-biotics,PostAdmissible
233,Switzerland Proactive,Switzerland,Proactive,2016-12-20,2016,Multiple changes to improve working conditions in health care/nursing,PostAdmissible
234,Switzerland Proactive,Switzerland,Proactive,2016-11-08,2016,prohibit usage of synthetic pesticides,PostAdmissible
235,Switzerland Proactive,Switzerland,Proactive,2016-02-25,2016,Prohibit face coverings unless they are for medical or security reasons (or alternatively for local tradtions),PostAdmissible
236,Switzerland Proactive,Switzerland,Proactive,2015-07-22,2015,"increase affordable housing, add federal responsibility for affordable housing",PostAdmissible
237,Switzerland Proactive,Switzerland,Proactive,2015-03-30,2015,decrease human rights violations through swiss companies abroad,PostAdmissible
238,Switzerland Proactive,Switzerland,Proactive,2015-03-17,2015,"promote dense development, prohibit creating new sprawling builing zones (to avoid building over more and more natural landscapes)",PostAdmissible
239,Switzerland Proactive,Switzerland,Proactive,2015-02-11,2015,National law should take precedence over international law,PostAdmissible
241,Switzerland Proactive,Switzerland,Proactive,2014-09-04,2014,mulitple changes to agriculture policies to increase and standardise national food production,PostAdmissible
242,Switzerland Proactive,Switzerland,Proactive,2014-09-03,2014,"subsidies for ethical animal handling, particularly if goats and cows can keep their horns",PostAdmissible
243,Switzerland Proactive,Switzerland,Proactive,2014-05-13,2014,abolish national fees for tv- and radioprogamming,PostAdmissible
244,Switzerland Proactive,Switzerland,Proactive,2014-05-12,2014,"changes to fiscal policies, including an independent national bank and a new law regulating different aspect of financing",PostAdmissible
245,Switzerland Proactive,Switzerland,Proactive,2014-05-07,2014,introduce policies to promote ethical and healthy food production,PostAdmissible
